wm7,cm1,cm8,cm9a,cm9b,ind_id,women_wm,marital_wom
1,1,2,NA,NA,100202,1,Currently Married
1,1,2,NA,NA,100302,1,Currently Married
1,1,2,NA,NA,100402,1,Currently Married
1,2,2,NA,NA,100405,1,Never Married
1,2,2,NA,NA,100503,1,Never Married
1,2,2,NA,NA,100504,1,Never Married
1,2,2,NA,NA,100505,1,Never Married
1,1,2,NA,NA,100602,1,Currently Married
1,1,2,NA,NA,100702,1,Currently Married
1,2,2,NA,NA,100703,1,Never Married
1,1,2,NA,NA,100902,1,Currently Married
1,1,2,NA,NA,101104,1,Currently Married
1,2,2,NA,NA,101203,1,Never Married
1,2,2,NA,NA,101304,1,Currently Married
1,2,2,NA,NA,101305,1,Never Married
1,1,2,NA,NA,101404,1,Currently Married
1,1,2,NA,NA,101502,1,Currently Married
1,2,2,NA,NA,101506,1,Never Married
1,2,2,NA,NA,101507,1,Never Married
1,1,1,1,0,101602,1,Currently Married
1,2,2,NA,NA,101704,1,Currently Married
1,1,2,NA,NA,101804,1,Currently Married
1,1,2,NA,NA,101905,1,Currently Married
1,2,2,NA,NA,101907,1,Currently Married
1,1,2,NA,NA,102002,1,Currently Married
1,1,2,NA,NA,200105,1,Currently Married
1,1,2,NA,NA,200402,1,Currently Married
1,2,2,NA,NA,200403,1,Never Married
1,1,2,NA,NA,200501,1,Currently Married
1,1,2,NA,NA,200603,1,Currently Married
2,NA,NA,NA,NA,200605,1,NA
1,2,2,NA,NA,200704,1,Never Married
1,2,2,NA,NA,200705,1,Never Married
1,1,2,NA,NA,201102,1,Currently Married
1,2,2,NA,NA,201104,1,Currently Married
1,1,2,NA,NA,201203,1,Currently Married
1,1,2,NA,NA,201301,1,Currently Married
1,2,2,NA,NA,201303,1,Never Married
1,1,2,NA,NA,201401,1,Currently Married
1,1,2,NA,NA,201502,1,Currently Married
1,1,2,NA,NA,201506,1,Currently Married
1,1,2,NA,NA,201604,1,Currently Married
1,2,2,NA,NA,201605,1,Never Married
1,2,2,NA,NA,300104,1,Currently Married
1,1,2,NA,NA,300106,1,Currently Married
1,1,2,NA,NA,300204,1,Currently Married
1,2,2,NA,NA,300205,1,Never Married
1,1,2,NA,NA,300304,1,Currently Married
1,1,2,NA,NA,300502,1,Currently Married
1,2,2,NA,NA,300503,1,Never Married
1,1,2,NA,NA,300604,1,Currently Married
1,1,2,NA,NA,300704,1,Currently Married
1,1,2,NA,NA,300709,1,Currently Married
1,1,2,NA,NA,300803,1,Currently Married
1,1,2,NA,NA,300902,1,Widowed
1,1,2,NA,NA,301003,1,Currently Married
1,2,2,NA,NA,301004,1,Never Married
1,1,2,NA,NA,301103,1,Currently Married
1,1,2,NA,NA,301204,1,Currently Married
1,1,2,NA,NA,301302,1,Currently Married
1,2,2,NA,NA,301303,1,Never Married
1,1,2,NA,NA,301404,1,Currently Married
