hh1,hh2,hh3,hh4,hh5d,hh5m,hh5y,hh6,hh7,hh9,hh10,hh11,hh12,hh13,hh14,hh15,hh16,hh17,hh18h,hh18m,hh19h,hh19m,sl1,sl9a,sl9b,sl9c,cd_flag,cl2a,cl2b,cl2c,cl2d,cl4,cl5,cl6,cl7a,cl7b,cl7c,cl7d,cl7e,cl7f,cl8,cl9,cl10a,cl10b,cl10c,cl10d,cl10e,cl10f,cl10g,cl12,cd2,cd3a,cd3b,cd3c,cd3d,cd3e,cd3f,cd3g,cd3h,cd3i,cd3j,cd3k,cd4,hc1a,hc1c,hc2,hc3,hc4,hc5,hc6,hc7,hc8a,hc8b,hc8c,hc8d,hc8e,hc8f,hc8g,hc8h,hc8i,hc8j,hc8k,hc8l,hc8m,hc8n,hc8o,hc8p,hc8q,hc9b,hc9c,hc9d,hc10,hc11,hc12,hc12a,hc12b,hc12c,hc12d,hc13,hc14a,hc14b,hc14c,hc14e,hc14f,hc14g,hc15,ws1,ws2,ws3,ws4,ws5,ws6,ws7a,ws7b,ws7c,ws7d,ws7e,ws7f,ws7x,ws7z,ws8,ws9,ws10,ws11,hw1,hw2,hw3a,hw3ba,hw3bb,hw3bc,hw4,hw5a,hw5ba,hw5bb,hw5bc,hhsex,ethnicity,helevel,hhweight,wscore,windex5,wscoreu,windex5u,wscorer,windex5r,psu,stratum,hh_id
1,1,35,31,23,12,2013,1,1,1,2,3,0,0,0,0,32,3,17,0,17,30,1,1,3,15,1,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,2,1,2,2,2,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,1,2,36,31,33,2,NA,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,1,1,1,1,2,NA,2,NA,2,NA,2,NA,NA,NA,NA,NA,NA,2,11,NA,NA,NA,NA,1,,,,D,,,,,12,2,NA,NA,1,1,1,,,C,NA,NA,,,,1,1,3,2.1336066308288157,1.2470892583215283,5,0.8464677372392457,4,NA,NA,1,1,101
1,2,36,31,25,12,2013,1,1,1,1,5,1,1,2,2,32,3,9,0,9,15,1,1,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,1,2,2,2,1,2,2,2,2,2,2,97,1,3,36,35,33,2,NA,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,2,NA,2,NA,2,NA,2,NA,NA,NA,NA,NA,NA,1,11,NA,NA,NA,NA,1,A,,,D,,,,,12,2,NA,NA,1,1,1,A,,,NA,NA,,,,2,1,4,2.1336066308288157,1.640778368524825,5,1.3375765102592923,5,NA,NA,1,1,102
1,3,36,31,23,12,2013,1,1,1,2,5,1,1,0,0,32,3,16,58,17,20,2,1,4,10,1,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,2,1,1,1,2,2,7,4,2,1,2,2,1,2,2,2,2,2,2,2,97,1,4,36,35,33,2,NA,1,1,1,1,1,1,1,2,1,2,1,1,2,1,2,1,2,1,1,1,1,2,NA,2,NA,2,NA,2,NA,NA,NA,NA,NA,NA,1,11,NA,NA,NA,NA,1,A,,,,,,,,12,2,NA,NA,1,1,1,,,C,NA,NA,,,,2,1,1,2.1336066308288157,1.4277969343533086,5,1.071892120975549,5,NA,NA,1,1,103
1,4,37,31,24,12,2013,1,1,1,3,5,2,2,0,0,32,3,17,10,17,50,1,1,4,6,1,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,2,1,2,2,2,2,1,4,2,1,2,2,1,1,2,2,2,1,2,2,97,1,3,36,35,33,2,NA,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,2,NA,2,NA,2,NA,2,NA,NA,NA,NA,NA,NA,1,11,NA,NA,NA,NA,1,A,,,,,,,,12,2,NA,NA,1,1,1,A,,C,NA,NA,,,,1,1,4,2.1336066308288157,1.6135675973132824,5,1.3036323443774138,5,NA,NA,1,1,104
1,5,35,31,24,12,2013,1,1,1,3,5,3,3,0,0,32,3,8,0,8,40,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,1,3,36,31,33,1,NA,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,2,2,1,2,1,1,2,NA,2,NA,2,NA,2,NA,NA,NA,NA,NA,NA,1,11,NA,NA,NA,NA,1,,,,D,,,,,12,2,NA,NA,1,1,1,,,C,NA,NA,,,,1,1,4,2.1336066308288157,1.064316516847107,5,0.6184672808368282,4,NA,NA,1,1,105
1,6,32,31,23,12,2013,1,1,1,1,3,1,1,0,0,32,3,14,0,14,35,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,1,3,36,35,33,2,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,2,NA,2,NA,2,NA,2,NA,NA,NA,NA,NA,NA,1,11,NA,NA,NA,NA,1,A,,,,,F,,,12,2,NA,NA,1,1,1,,B,C,NA,NA,,,,1,1,4,2.1336066308288157,1.624926343435906,5,1.3178018495192942,5,NA,NA,1,1,106
1,7,36,31,24,12,2013,1,1,1,2,4,2,2,0,0,32,3,17,52,18,15,2,1,3,17,1,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,2,1,1,1,2,2,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,1,3,36,35,33,2,NA,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,2,2,1,1,1,1,2,NA,2,NA,2,NA,2,NA,NA,NA,NA,NA,NA,1,11,NA,NA,NA,NA,1,A,,,D,,,,,12,2,NA,NA,1,1,1,,,C,NA,NA,,,,1,1,4,2.1336066308288157,1.4449045924531672,5,1.0932331252373366,5,NA,NA,1,1,107
1,8,32,31,25,12,2013,1,1,5,NA,NA,NA,NA,NA,NA,32,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,,,,NA,NA,NA,0,0,0,0,0,0,0,1,1,108
1,9,37,31,23,12,2013,1,1,1,2,5,1,1,0,0,32,3,13,35,14,10,2,1,4,16,1,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,2,2,1,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,1,3,36,35,33,2,NA,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,2,2,1,1,1,1,2,NA,2,NA,2,NA,2,NA,NA,NA,NA,NA,NA,1,11,NA,NA,NA,NA,1,A,,,,,,,,12,2,NA,NA,1,1,1,A,,,NA,NA,,,,2,1,2,2.1336066308288157,1.3854785911361893,5,1.0191019647965562,5,NA,NA,1,1,109
1,10,35,31,23,12,2013,1,1,1,1,2,0,0,0,0,32,3,14,0,14,39,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,1,2,36,35,33,2,NA,1,1,1,1,1,1,1,2,1,2,1,1,2,1,2,2,2,1,2,2,1,2,NA,2,NA,2,NA,2,NA,NA,NA,NA,NA,NA,1,11,NA,NA,NA,NA,1,A,,,,,,,,12,2,NA,NA,1,1,1,,,C,NA,NA,,,,1,1,3,2.1336066308288157,1.1959475162895494,5,0.7826708032410887,4,NA,NA,1,1,110
